variable,year,value,scenario,variant
Prozentuale Einsparung seit 2000,2017,-0.15667809489281337,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2018,-0.18979951756950508,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2019,-0.19535840031860052,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2020,-0.2002960627028728,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2021,-0.2158250203188954,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2022,-0.23158646444086795,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2023,-0.24712388712765232,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2024,-0.2621538752930055,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2025,-0.2774213650297357,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2026,-0.2921031323105501,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2027,-0.30707988730043867,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2028,-0.32213009312750895,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2029,-0.33670300316874613,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2030,-0.35088805603232653,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2031,-0.3643711852680741,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2032,-0.37771074291586704,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2033,-0.39036128607072806,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2034,-0.40267202283557135,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2035,-0.414188462368547,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2036,-0.42547564389185,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2037,-0.43639107705525015,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2038,-0.4468006248003328,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2039,-0.4562801866853635,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2040,-0.46569225298925543,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2041,-0.47434258253718564,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2042,-0.48237828994257936,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2043,-0.4900631335821968,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2044,-0.4971126963710317,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2045,-0.5037698564643209,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2046,-0.5101957204939312,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2047,-0.5164512166342097,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2048,-0.5221637725898908,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2049,-0.5274458860918103,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2050,-0.5326008209283694,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2051,-0.5375376155333682,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2052,-0.5420850099667467,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2053,-0.5463243096033946,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2054,-0.550341885061596,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2055,-0.5541791679918273,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2056,-0.5578498130180334,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2057,-0.5614523266474181,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2058,-0.5647910635944952,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2059,-0.5679405362024661,ZERO-Basis,KKW50
Prozentuale Einsparung seit 2000,2060,-0.571173817828412,ZERO-Basis,KKW50
Summe pro Kopf [GJ/Einwohner],2000,109.03039878964354,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2001,112.00120436803037,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2002,108.01429285275859,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2003,110.72965445967293,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2004,110.7634952659587,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2005,111.65744692082816,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2006,110.2942714843463,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2007,105.7654278741276,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2008,108.33547335125039,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2009,104.6768819108862,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2010,108.00404125635964,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2011,98.68762608646209,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2012,101.35888009689927,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2013,102.80334203252474,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2014,92.99111834174045,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2015,93.20138975260056,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2016,93.63705433688537,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2017,91.96679047464045,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2018,88.35034651683756,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2019,87.73851206732695,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2020,87.34243886255756,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2021,85.64650901085832,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2022,83.9453791411515,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2023,82.25327646631061,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2024,80.57870735699694,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2025,78.92229700721289,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2026,77.30191817830648,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2027,75.65343247808566,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2028,73.99787903619274,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2029,72.39863257985073,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2030,70.84419660472253,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2031,69.34130697929321,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2032,67.86463211148889,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2033,66.46667026196698,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2034,65.11589298605683,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2035,63.84916259155929,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2036,62.60116030328784,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2037,61.39538127010688,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2038,60.23546980909853,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2039,59.18026854904525,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2040,58.12385308651482,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2041,57.15682801490502,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2042,56.26419038603186,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2043,55.404350493039296,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2044,54.612141627091965,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2045,53.83953132734508,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2046,53.098122761970565,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2047,52.38591759284749,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2048,51.71926540159402,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2049,51.1205133127656,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2050,50.53959804760856,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2051,49.99875031376366,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2052,49.47816943213092,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2053,49.00688414787835,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2054,48.55860933661161,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2055,48.12176304138967,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2056,47.73452548279591,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2057,47.364766556661465,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2058,47.015883436237964,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2059,46.69108401181089,ZERO-A,KKW50
Summe pro Kopf [GJ/Einwohner],2060,46.363640278853104,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2000,100.0,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2001,102.72474980497735,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2002,99.06805262737288,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2003,101.55851550475188,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2004,101.58955345991065,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2005,102.40946392964506,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2006,101.15919294869424,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2007,97.00544898325542,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2008,99.36263148066266,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2009,96.0070614002277,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2010,99.0586501153095,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2011,90.5138632729977,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2012,92.96387174778181,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2013,94.28869670638103,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2014,85.28916648388282,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2015,85.48202224997593,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2016,85.88160309084338,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2017,84.34967815909346,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2018,81.03276471298176,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2019,80.47160520489719,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2020,80.10833660351057,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2021,78.55287145752752,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2022,76.99263698293032,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2023,75.44068202942645,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2024,73.90480843095922,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2025,72.38558960009001,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2026,70.89941799391927,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2027,69.38746745671057,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2028,67.86903456068214,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2029,66.40224504684436,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2030,64.97655460419337,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2031,63.59814120562468,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2032,62.243771337957476,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2033,60.96159511459152,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2034,59.722695421565305,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2035,58.560881460908796,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2036,57.41624445863637,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2037,56.31033358738723,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2038,55.246491325151524,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2039,54.27868668372384,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2040,53.309768405649294,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2041,52.42283679543339,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2042,51.604131518022314,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2043,50.8155075172503,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2044,50.08891303099535,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2045,49.38029386760267,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2046,48.70029216752181,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2047,48.04707510418045,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2048,47.43563811169576,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2049,46.88647742304817,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2050,46.35367623034793,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2051,45.85762399184482,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2052,45.38016001169638,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2053,44.94790874096423,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2054,44.53676211007681,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2055,44.136097433003805,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2056,43.7809326689632,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2057,43.441798876700524,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2058,43.12181185996346,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2059,42.82391381681888,ZERO-A,KKW50
Veränderung (Referenzindex 2000),2060,42.523590478930764,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2000,0.0,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2001,0.027247498049773444,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2002,-0.009319473726271177,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2003,0.015585155047518784,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2004,0.01589553459910653,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2005,0.024094639296450504,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2006,0.011591929486942432,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2007,-0.029945510167445843,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2008,-0.006373685193373446,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2009,-0.039929385997723,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2010,-0.00941349884690501,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2011,-0.09486136727002303,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2012,-0.07036128252218188,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2013,-0.057113032936189634,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2014,-0.14710833516117172,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2015,-0.1451797775002408,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2016,-0.14118396909156616,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2017,-0.15650321840906545,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2018,-0.18967235287018247,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2019,-0.1952839479510281,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2020,-0.19891663396489434,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2021,-0.21447128542472482,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2022,-0.23007363017069682,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2023,-0.24559317970573546,ZERO-A,KKW50
Prozentuale Einsparung seit 2000,2024,-0.26095191569040777,ZERO-A,KKW50
